name,add_10digits_100k,mul_5digits_100k
baseline,0.990,0.000
n_embd=192,0.979,0.000
n_embd=768,1.000,0.000
n_head=3,0.995,0.000
n_head=12,0.995,0.000
n_layer=3,0.986,0.000
n_layer=12,0.991,0.000
