name,add_10digits_100k,mul_5digits_100k
baseline,0.987,0.000
n_embd=192,0.974,0.000
n_embd=768,1.000,0.000
n_head=3,0.991,0.000
n_head=12,0.989,0.000
n_layer=3,0.974,0.001
n_layer=12,0.989,0.000
